polish,english
Panować nad czymś ,To be in control
Poza kontrolą ,Beyond control
Wykorzystać szansę w pełni ,Use the potential to maximum
Gaduła,Chatterbox
W internecie ,On Internet 
[majgrejtin],migrating
ukazac cos w interesujacym swietle,cast an interesting light
,cast / cast / cast
[likipedia],wikipedia
bylismy w stanie ogarnac,we were able to take
[sajlizjan],Silesian
wynyslic cos,make something up
[pirsulejd],persuade
namowic do czegos,talk somebody in doing something
[njuzlig],Newsweek
[fin'],thing
[fink],think
wszystko w swoim czasie,all in good time
czasami|od czasu do czasu,every now and then
[ogzimoron],oxymoron
[anse'],answer
rosnacy [asendin],ascending
stanowczy,assertive
Zdolności umysłowe ,Mental skills
Zdolności poznawcze,Cognitive skills
(jest jedno|dokładnie jedno) istniejące oprogramowanie ,The existing software
,The more +Present Simple|the higher +Present Simple. 
[onestly] ,Honestly
[onord] ,Honoured
Być znudzonym sytuacją ,Bored WITH a situation
Być przywiązanym do wózka ,Tight to a wheelchair
Osiągnąć prędkość ,Reach a speed
Przejechać dystans ,Cover kilometers
Ścieżka rowerowa ,Bikeline
Wyminąć,Take over
Powinni uważać ,They should be aware
Być skupionym na grze,Keep an eye on the ball
Bakalie,Dried fruits
By yourself,On your own
Kuchenka,A cooker
 ,It was so good! (with adjective)
,It was Such a good film (with noun)
In a car,On a train / bus / plane / tram
Wyrażenie,Collocation
Skojarzenie,An association
Ponadczasowe,beyond time
[remors] Wyrzuty sumienia,Remorse
[wyz] bystrzak,Whiz kid
[sabsidajz] dotowany,Subsidized
Zielsko,Weed
[splyf] zielsko,Splif
Dowcip|cięte powiedzonko,Wisecrack
Zmęczenie ,Tiredness
Posprzątać ,Tidy up
Granica,Frontier
Piedziesiąte lata,The fifties
Pracuję po godzinach,I work overtime
Dobić targu,Clinched the deal
[otomatikli] ,Automatically
Lokalna władza ,Local authorities
Zakazany,Forbidden
[enjuli] ,Anually
Anglojęzyczne ,Anglophone
Przywiązany do czegoś ,Attracted *to*
[sy-mul-tejnjusly] ,Simultaneously
Nadążyć za kimś ,Keep the pace with
Krytyczny,Derisive
Testowanie na sobie,Dogfooding
Nadziać się na własną broń,Get a taste of its own medicine
Na czas,On time
W porę ,In time
Sometimes,At times
Przyjemnie,Pleasurably
[leżer] rekreacja,Leisure
[dekoratif] ozdobny,Decorative 
[dikorejt] upiększyć ,Decorate
Ograniczać ,Confine
[altimejtum] ,Ultimatum
Wpaść w tarapaty ,Dig into a hole
Powiedzieć przez przypadek coś zawstydzajacego,To put sb's foot in it
Inny,Other one
Drugi|kolejny,Another
[trajamf] ,Triumph
Ufać znaczy kontrolować ,Seeing is beliving
Sam to zrobiłem ,I did it MYSELF
Sam to zrobiłem ,I did it ON MY OWN
Krotkowzroczny,Short-sighted
Oczywiście ,Certainly
W wieku,At age
Pół roku ,Half a year
Nieszczęśliwy ,Unhappy
Oszczędności ,Savings
Krótko mówiąc ,Cut a long story short
Wybory,Presidential election
Gonić do roboty,Crack the whip
Żaden z nich ,None of them
Mieć kontrole,In control
Znać tajniki,Learn the ropes
Nieefektywny,Inefficient
Nieproduktywni pracownicy,Dead wood
,Curiosity killed the cat
Skończyć spotkanie,Wind up
Divelep,Develop
[abaf] ,Above
Uderzyć w melanż ,Paint the city red
Rozmawiałem na jakiś temat,I had a chat
Rozmawiałem z szefem,I had a word with my boss 
Wiązać koniec z końcem,Make ends meet
Zawsze warto się uczyć,It is always worth learning
Co więcej,What IS more
Oni ustalają zasady,They can shape the norm
Ustanawia zasady,Establish the term
[ynovatyw] ,Innovative
[pikczoresk] ,Picturesque
[apel] ,Apple
[andifajnd] ,Undefined
Uporać się z czymś ,Manage something
Radzić sobie z czymś ,Deal / cope wit sth
Podpuszczać kogoś ,Pulling sb's leg
Zasypany pracą ,Snowed under my work
Rutynowe prace,Legwork
Być w dobrych warunkach,Get on well
Gimnazjum,Junior high school
Podważać,Undermine
Co gorsza ,What makes IT worse
Zmieniać ,Alter
Zielony z zazdrości ,Green with envy
Naruszać ,Violate
Naruszać ,Infringe
Naruszenie,Breach
Pojawić się / wyskoczyć / pojawić się ,Pop up
Robić ostatnie szlify,Make finishing touches
Upamiętnić ,Commemorate
Podsumowanie ,Brief
Zwięzły ,Concise
Pieniężny ,Pecuniar
Przeżyć ,Outlive
To jest coś co lubię. ,That's my jam
Połączenie pracy z odpoczynkiem ,Bleisure
Połączenie (radiowe|telewizyjne) / spiknięcie się ,Hook-up
Zbaczać z trasy,Depart from track
Determyn,Determine
W weekend,AT the weekend
Spotkać coś przypadkiem,Come across
Wstrząsnęło mną ,Took me aback
Extend (space) ,Prolong (time) 
Zawodowe sztuczki,Tricks of trade
Paradoks,Paradox
Nie do pomyślenia ,Unthinkable
Użyteczność ,Utility
Powstrzymać się od robienia czegoś,Refrain from doing something
Na własne oczy ,With own eyes
Przeklinać na kogoś,Swear at
Wywrócić do góry nogami ,Gut 
Niepoliczalne,Much information / advice
,Cut / cut / cut
Poza zrozumieniem,Beyond my mind
Ulżyć ,Relieve
Złożyć wizytę ,Pay a visit 
Powiedzieć komplement,Pay a complement
Umowa o dzieło ,Task related agreement
Doktor,Physician
Przeceniany,Overrated
Drink na kaca,Hair of the dog
Zawiedziony,Gutted
Coś słodkiego|najlepszego ,Bees knees
Something amazing,LIT
Maraton marnowania się ,To go bender
Advice|news. ,Information is always uncountable
W przeciwieństwie ,On THE contrary
,Maybe I'm provocative
Podnieść kwestie,Touch upon an issue
Bałagan informacyjny ,Information smog
Dogadać się,To come to terms
Lektoe,Voiceover
Bodziec / bodźce,Stimulus / stimuli
[si-i-oł] ,CEO
[si-aj-oł] ,CIO
[es-i-oł] ,SEO
[noł] ,Know
[noledż] ,Knowledge
Specjalizowac się w czymś ,Specialise in sth
Po drodze ,On my way
To co miałem na myśli... ,What i was driving at
Opowiedzieć historię komuś ,Tell story to
Ograniczać się ,I confine myself
Jak się z czymś uporać ,How to tackle
Życzliwość ,Friendliness
Ponad miarę ,Excessively
[kawe] ,Cover
Przytyć ,Put on weight
Odciśniety,Imprinted
With vehicles / between people,Transportation / communication
With enemies / with frienda,Collaboration / cooperation
Zarazliwy,Contagious
Wyjątek potwierdza regułę ,The exception prooves the rule
Wykorzystać w pełni ,Make the most of sth
Turystyczne miejaca,Tourist places
Udawać że nie widzi się ,Turn a blind eye
[kawerd] ,Covered
Port,Harbour
Skruszony / pokutnik,Penitent
Czuć się na siłach aby coś zrobić,Have the stomach for sth
Być oniemiałym,To be awestruck
Dotychczas|do tej pory,Hitherto
Haga|Watykan (miasta z The) ,The Hague|The Vatican
[spontejnosli] ,Spontaneously
Strumień świadomości ,Steam of consciousness
Pogodzić się z kimś ,Make up
Utworzyć słowo ,Coin a word
[owjus] ,Obvious
[ikousystem] ,Ecosystem
Nadawać w radio / telewizji,Air (verb) 
[ynfynyt] ,Infinite
[fajnajt] ,Finit
Zwyczajowy,Nomic
I oto,Lo and behold
Skarbnica wiedzy,Treasure trove
Klęska|fiasko,Debacle
Kłaść nacisk,Put effort in
Kłaść nacisk,Put an emphasis on
Znaczący ,Meaningful
Zmagać się z czymś ,Struggle with sth
Lekceważyć ,Neglect
Zaniedbanie,Negligence
Gra niewarta świeczki ,The cake is not worth a candle
Wypłacać pieniądze ,Disburse
Drobiazgowy,Meticulous
Na lotnisku ,At the airport
W samolocie,On the airplane
Samolot odlatuje,Plane takes off
Zakochać się w czymś ,Fall love with
Przeciwny,Contradictory
Czerwone światło ,Amber light
Mam wszystko czego potrzeba ,My Cup runneth over
Podburzanie do buntu,Rabble-rousing
Ganić,Upbraid
Bez mrugnięcia okiem,Bat an eye
Ślisko ,Slippery
Niepokoje,Disturbance
Ważne decyzje,Material decisions
Wspólne stanowisko ,Common ground
[panktuys],Punctuous
Oderwane od rzeczywistości ,Off base
Przyswajac,Absorb
Znaleźć punkt zaczepienia,Find a foothold
Kąt prosty,Right angle
Ekonomia / nauka o ekonomii ,Economy / economics
Ekonomiczny|oszczędny ,Economical
Kurs wymiany ,Exchange rate
Zapraszać kogoś w gości ,Invite sb over
Pożerać|połykać,Gobble up
Kończyć się ,Come to an end
Improwizować,Play sth by ear
Nadrobić|zrekompensować ,Make up for something
Połknąć bakcyla,Got bitten by the bug
Ciąg przyczynowo skutkowy,Cause and effect relation
Pasma górskie z the,The Tatra Mountains
Powali Cie to,Going to kill you
Zareagować na to ,React to
Animozje,Animosity
Kłócić się z kimś ,Argue with
Walczyć z kimś ,Flight against
Pochłonąć coś ,Eat sth up
W czyimś imieniu ,On the behalf of
Rzucić na coś światło|uzmysłowić,Cast light on
Zasadny|rozsądny,Justified
Nad taflą|na bieżąco,Above the surface
Składka emerytalna,Pension contribution
Zgodzić się na coś ,Agree to
Traktować kogoś ozięble,To give sb the cold shoulder
Pod wiatr,Against wind
Gorączkowy,Hectic
Czas leci,Time flies
Z pierwszej ręki ,From the horse's mouth
Wpłynąć|odcisnąć,Imprint
Zbliżyć ,Bridge the gap
Krótko mówiąc ,Simply put
Aż do teraz ,Up untill now
Oskarżać kogoś o coś ,Accuse sb of sth
Klauzula sumienia,The clause of conscience
Spłukany|bez grosza,Skint
[separejt] ,Separate [verb] 
[sepryt] ,Separate [adv.] 
[kandidat] ,Candidate [noun] 
[kandidejt] ,To candidate
Gładko przejść do innego tematu,Segue into
Posłuchaj tego ,Listen to this
Odliczenia,Deductions
Wymawiać,Utter
Przyjęło się uważać ,The common cultural narratives tell me that.... 
W zamian za coś ,In lieu of something 
Sitko,Sifter
Bezczelność ,Insolence
Dziwak,Square peg
Nie chwal dnia przed zachodem Słońca ,Don't count chickens before they hatch
[plejg] ,Plague
Pełen zamętu ,topsy-turvy
Patrzeć na kogoś z góry ,To look down on sb
Pierwotna przyczyna,Underlying problem 
To be in the same situation,On the same boat
W domu,At home
Preferować coś od czegoś ,Give a priority to sth over sth
Wpaść do kogoś z wizytą ,Drop in
Na świeżym powietrzu ,On the open air
Po drodze,On the way
W autobusie,On the bus 
Zagłębić się w coś ,Sink in the area
Pauza,Cesura
Na maksa,To the full
Pffff,Blow Raspberry 
Skoczyć do przodu ,Leap forward
Wchodzić w czyjeś buty,Step into sb's shoes
Naczynia połączone ,Communicating vessels
Czyste sumienie,Clear conscience
Dyskretny,Low profile
Notariusz,Notary public
Akt notarialny,Notarial deed
Może to kwestia osobista,Maybe it is subjective
Ponosić koszty,Incur the costs'
Postaram się ,I'll do my best
Na podstawowym poziomie,At a basic level
Plejdżarizm,Plagiarism [] 
Track suit,Dees
Establish your name,Dać się zauważyć 
Compartment,Przedział 
In someone's car,W czyimś samochodzie
Naivety,Naiwność 
Virtue,Cnota
Eye-witness,Naoczny świadek 
Perilous,Risky|dangerous
Nide off,Zasnąć niespodziewanie 
Each of... IS,is bo odnosi się do pojedynczego 
Plant,Fabryka 
Factory ,Fabryka 
On my own,By myself
To fall out,To quarrel
To ask around,To ask the same questions
Deducing the costs ,Obniżając koszty
Daily bread,Powszedni
Well-off,Dobrze sytuowany
Biased,Stronniczy|uprzedzony
On airplane,W samolocie 
I try to occupy my mind,Staram się zająć umysł 
For very many reasons ,Z wielu powodów 
Although / whilist / whereas,Pomimo czegoś 
Pomimo czegoś ,Although / whilist / whereas
In high spirits,Dobrej myśli 
Dobrej myśli ,In high spirits
The equator,Równik
Równik,The equator
Appeal to me,Wpływa na mnie
Wpływa na mnie,Appeal to me
Arrerage,Zaległości 
Zaległości ,Arrerage
Reportage,Reportaż




Reportaż ,Reportage
On time,Na czas|o czasie 
Na czas|o czasie ,On time
Set an example,Ustanowić przykład 
Ustanowić przykład ,Set an example
Stopover,Przesiadka 
Przesiadka ,Stopover
Cul-de-sac,Ślepa uliczka 
Ślepa uliczka ,Cul-de-sac
Footloose,Nieskrępowany
Nieskrępowany,Footloose
Pass up the oportunity ,Przepuścić okazję 
Przepuścić okazję ,Pass up the oportunity 
Unwind [] ,[anwajnd] 
Be all fingers and thumbs,Mieć dwie lewe ręce 
Mieć dwie lewe ręce ,Be all fingers and thumbs
Solution TO,Rozwiązanie dla czegoś 
Rozwiązanie dla czegoś ,Solution TO
Give over,Poświęcić coś komuś 
Poświęcić coś komuś ,Give over
Decisive person,Osoba decyzyjna
Osoba decyzyjna,Decisive person
Country side,Przedmieścia 
Przedmieścia ,Country side
Be jazzed about something ,Be excited about sth 🎷
Be excited about sth 🎷,Be jazzed about something 
Warm the cockles of somebody's heart,Wzbudzić w kimś pozytywne uczucia w stosunku do innych 
Wzbudzić w kimś pozytywne uczucia w stosunku do innych ,Warm the cockles of somebody's heart
AT the weeding reception,Na przyjęciu weselnym
Na przyjęciu weselnym,AT the weeding reception
Zapeszać,Jinx
Jinx,Zapeszać
Stick to one's guns,Obstawać przy swoim
Obstawać przy swoim,Stick to one's guns
Rapport (to build with someone) ,Bliski kontakt (zbudować z kimś) 
Bliski kontakt (zbudować z kimś) ,Rapport (to build with someone) 
Conjure up,Przywoływać / wywoływać wspomnienie
Przywoływać / wywoływać wspomnienie,Conjure up
Make out ,Obściskiwać się 
Obściskiwać się ,Make out 
IN the lomg run,Na dłuższą metę 
Na dłuższą metę ,IN the lomg run
